run_id,seed,representation,ansatz,depth,K,init_state,test_accuracy,runtime_sec
161,42,flatten,se,7,32,random_fixed,0.9139000177383423,9049.6
162,42,flatten,se,1,32,random_indep,0.8888999819755554,7001.65
163,42,flatten,se,3,32,random_indep,0.9111999869346619,7696.82
164,42,flatten,se,5,32,random_indep,0.9142000079154968,8407.73
165,42,flatten,se,7,32,random_indep,0.9147999882698059,9097.48
166,42,flatten,random,1,2,zero,0.3025999963283539,362.69
167,42,flatten,random,3,2,zero,0.3321000039577484,401.81
168,42,flatten,random,5,2,zero,0.4059000015258789,409.77
169,42,flatten,random,7,2,zero,0.4505000114440918,326.26
170,42,flatten,random,9,2,zero,0.4733000099658966,456.76
171,42,flatten,random,15,2,zero,0.48350000381469727,483.5
172,42,flatten,random,21,2,zero,0.4952999949455261,523.0
173,42,flatten,random,1,2,random_fixed,0.28679999709129333,330.9
174,42,flatten,random,3,2,random_fixed,0.3822999894618988,400.46
175,42,flatten,random,5,2,random_fixed,0.4514999985694885,414.23
176,42,flatten,random,7,2,random_fixed,0.460099995136261,435.46
177,42,flatten,random,9,2,random_fixed,0.4668999910354614,462.56
178,42,flatten,random,15,2,random_fixed,0.4754999876022339,509.46
179,42,flatten,random,21,2,random_fixed,0.5120999813079834,576.76
180,42,flatten,random,1,2,random_indep,0.31929999589920044,397.3
181,42,flatten,random,3,2,random_indep,0.33820000290870667,410.94
182,42,flatten,random,5,2,random_indep,0.4140999913215637,419.4
183,42,flatten,random,7,2,random_indep,0.4424999952316284,439.64
184,42,flatten,random,9,2,random_indep,0.49070000648498535,363.9
185,42,flatten,random,15,2,random_indep,0.4555000066757202,516.06
186,42,flatten,random,21,2,random_indep,0.5121999979019165,570.44
187,42,flatten,random,1,4,zero,0.3366999924182892,737.47
188,42,flatten,random,3,4,zero,0.41780000925064087,765.01
189,42,flatten,random,5,4,zero,0.5751000046730042,721.47
190,42,flatten,random,7,4,zero,0.6776000261306763,843.78
191,42,flatten,random,9,4,zero,0.6942999958992004,868.77
192,42,flatten,random,15,4,zero,0.7452999949455261,955.7
193,42,flatten,random,21,4,zero,0.7642999887466431,1094.72
194,42,flatten,random,1,4,random_fixed,0.4569999873638153,642.14
195,42,flatten,random,3,4,random_fixed,0.5737000107765198,771.9
196,42,flatten,random,5,4,random_fixed,0.6571000218391418,798.01
197,42,flatten,random,7,4,random_fixed,0.6388000249862671,837.93
198,42,flatten,random,9,4,random_fixed,0.7233999967575073,877.06
199,42,flatten,random,15,4,random_fixed,0.7232999801635742,1004.86
200,42,flatten,random,21,4,random_fixed,0.7620999813079834,1098.21
201,42,flatten,random,1,4,random_indep,0.4453999996185303,714.05
202,42,flatten,random,3,4,random_indep,0.6069999933242798,677.11
203,42,flatten,random,5,4,random_indep,0.7121999859809875,804.73
204,42,flatten,random,7,4,random_indep,0.7103999853134155,838.12
205,42,flatten,random,9,4,random_indep,0.7394000291824341,876.76
206,42,flatten,random,15,4,random_indep,0.7148000001907349,993.71
207,42,flatten,random,21,4,random_indep,0.7519999742507935,1097.75
208,42,flatten,random,1,8,zero,0.4212999939918518,1443.35
209,42,flatten,random,3,8,zero,0.48919999599456787,1500.55
210,42,flatten,random,5,8,zero,0.7293999791145325,1600.26
211,42,flatten,random,7,8,zero,0.7937999963760376,1656.48
212,42,flatten,random,9,8,zero,0.8206999897956848,1731.25
213,42,flatten,random,15,8,zero,0.8532000184059143,1955.91
214,42,flatten,random,21,8,zero,0.8629000186920166,2138.24
215,42,flatten,random,1,8,random_fixed,0.6263999938964844,1375.7
216,42,flatten,random,3,8,random_fixed,0.753000020980835,1499.36
217,42,flatten,random,5,8,random_fixed,0.8141000270843506,1605.06
218,42,flatten,random,7,8,random_fixed,0.8264999985694885,1677.15
219,42,flatten,random,9,8,random_fixed,0.8266000151634216,1740.86
220,42,flatten,random,15,8,random_fixed,0.8592000007629395,1905.15
221,42,flatten,random,21,8,random_fixed,0.8622000217437744,2173.91
222,42,flatten,random,1,8,random_indep,0.6442000269889832,1449.23
223,42,flatten,random,3,8,random_indep,0.7603999972343445,1513.74
224,42,flatten,random,5,8,random_indep,0.7914999723434448,1559.53
225,42,flatten,random,7,8,random_indep,0.8295999765396118,1641.16
226,42,flatten,random,9,8,random_indep,0.8335999846458435,1675.76
227,42,flatten,random,15,8,random_indep,0.8478999733924866,1860.76
228,42,flatten,random,21,8,random_indep,0.8565000295639038,2142.43
229,42,flatten,random,1,16,zero,0.47940000891685486,2737.34
230,42,flatten,random,3,16,zero,0.5268999934196472,2905.91
231,42,flatten,random,5,16,zero,0.8334000110626221,3043.34
232,42,flatten,random,7,16,zero,0.8586999773979187,3202.75
233,42,flatten,random,9,16,zero,0.8866999745368958,3335.16
234,42,flatten,random,15,16,zero,0.8949000239372253,3417.34
235,42,flatten,random,21,16,zero,0.8952999711036682,4332.97
236,42,flatten,random,1,16,random_fixed,0.7267000079154968,2780.27
237,42,flatten,random,3,16,random_fixed,0.8445000052452087,2945.08
238,42,flatten,random,5,16,random_fixed,0.8790000081062317,3056.79
239,42,flatten,random,7,16,random_fixed,0.8880000114440918,3035.52
240,42,flatten,random,9,16,random_fixed,0.8881999850273132,3364.69
241,42,flatten,random,15,16,random_fixed,0.8967000246047974,3825.94
242,42,flatten,random,21,16,random_fixed,0.8999999761581421,4200.73
243,42,flatten,random,1,16,random_indep,0.7692000269889832,2805.08
244,42,flatten,random,3,16,random_indep,0.8562999963760376,2922.09
245,42,flatten,random,5,16,random_indep,0.866599977016449,3033.05
246,42,flatten,random,7,16,random_indep,0.8855999708175659,3237.65
247,42,flatten,random,9,16,random_indep,0.8913000226020813,3369.36
248,42,flatten,random,15,16,random_indep,0.8971999883651733,3787.6
249,42,flatten,random,21,16,random_indep,0.8970000147819519,4274.01
250,42,flatten,random,1,32,zero,0.5145000219345093,5352.9
251,42,flatten,random,3,32,zero,0.5440000295639038,5726.98
252,42,flatten,random,5,32,zero,0.8801000118255615,6101.13
253,42,flatten,random,7,32,zero,0.8974000215530396,6226.1
254,42,flatten,random,9,32,zero,0.9023000001907349,6801.24
255,42,flatten,random,15,32,zero,0.9124000072479248,7623.93
256,42,flatten,random,21,32,zero,0.9150999784469604,8556.96
257,42,flatten,random,1,32,random_fixed,0.8040000200271606,5144.69
258,42,flatten,random,3,32,random_fixed,0.8863000273704529,5809.16
259,42,flatten,random,5,32,random_fixed,0.9002000093460083,6102.35
260,42,flatten,random,7,32,random_fixed,0.9057999849319458,5939.42
261,42,flatten,random,9,32,random_fixed,0.9099000096321106,6821.04
262,42,flatten,random,15,32,random_fixed,0.9150999784469604,7523.35
263,42,flatten,random,21,32,random_fixed,0.9150000214576721,8440.33
264,42,flatten,random,1,32,random_indep,0.8507999777793884,5412.12
265,42,flatten,random,3,32,random_indep,0.8925999999046326,5892.76
266,42,flatten,random,5,32,random_indep,0.901199996471405,6216.3
267,42,flatten,random,7,32,random_indep,0.9074000120162964,6541.26
268,42,flatten,random,9,32,random_indep,0.907800018787384,6886.64
269,42,flatten,random,15,32,random_indep,0.9132999777793884,7621.33
270,42,flatten,random,21,32,random_indep,0.9140999913215637,8645.22
271,42,flatten,random_indep,1,2,zero,0.26829999685287476,392.02
272,42,flatten,random_indep,3,2,zero,0.4189999997615814,405.33
273,42,flatten,random_indep,5,2,zero,0.4343000054359436,430.16
274,42,flatten,random_indep,7,2,zero,0.4341999888420105,449.97
