run_id,seed,representation,ansatz,depth,K,init_state,test_accuracy,runtime_sec
118,42,flatten,se,1,4,zero,0.5891000032424927,875.06
119,42,flatten,se,3,4,zero,0.6833999752998352,898.31
120,42,flatten,se,5,4,zero,0.6916999816894531,1078.95
121,42,flatten,se,7,4,zero,0.6956999897956848,1195.91
122,42,flatten,se,1,4,random_fixed,0.6105999946594238,765.15
123,42,flatten,se,3,4,random_fixed,0.6729999780654907,983.28
124,42,flatten,se,5,4,random_fixed,0.6960999965667725,1078.08
125,42,flatten,se,7,4,random_fixed,0.6930000185966492,1045.36
126,42,flatten,se,1,4,random_indep,0.5830000042915344,895.92
127,42,flatten,se,3,4,random_indep,0.6556000113487244,894.53
128,42,flatten,se,5,4,random_indep,0.6965000033378601,1057.47
129,42,flatten,se,7,4,random_indep,0.6970000267028809,1099.56
130,42,flatten,se,1,8,zero,0.640999972820282,1712.52
131,42,flatten,se,3,8,zero,0.7217000126838684,1907.2
132,42,flatten,se,5,8,zero,0.7465000152587891,2139.06
133,42,flatten,se,7,8,zero,0.7426000237464905,2293.54
134,42,flatten,se,1,8,random_fixed,0.6966999769210815,1696.13
135,42,flatten,se,3,8,random_fixed,0.7336000204086304,1964.42
136,42,flatten,se,5,8,random_fixed,0.7437000274658203,2054.8
137,42,flatten,se,7,8,random_fixed,0.7483999729156494,2284.3
138,42,flatten,se,1,8,random_indep,0.6884999871253967,1702.16
139,42,flatten,se,3,8,random_indep,0.7387999892234802,1935.31
140,42,flatten,se,5,8,random_indep,0.7512999773025513,2154.96
141,42,flatten,se,7,8,random_indep,0.7476000189781189,2317.94
142,42,flatten,se,1,16,zero,0.7242000102996826,3398.87
143,42,flatten,se,3,16,zero,0.7797999978065491,3868.35
144,42,flatten,se,5,16,zero,0.7897999882698059,4303.61
145,42,flatten,se,7,16,zero,0.784600019454956,4636.71
146,42,flatten,se,1,16,random_fixed,0.7372000217437744,3473.28
147,42,flatten,se,3,16,random_fixed,0.7727000117301941,3889.35
148,42,flatten,se,5,16,random_fixed,0.7871999740600586,4348.83
149,42,flatten,se,7,16,random_fixed,0.7821999788284302,4716.0
150,42,flatten,se,1,16,random_indep,0.7418000102043152,3488.06
151,42,flatten,se,3,16,random_indep,0.7821999788284302,3767.81
152,42,flatten,se,5,16,random_indep,0.7846999764442444,4261.86
153,42,flatten,se,7,16,random_indep,0.7918999791145325,4702.65
154,42,flatten,se,1,32,zero,0.7584999799728394,7021.71
155,42,flatten,se,3,32,zero,0.803600013256073,7314.12
156,42,flatten,se,5,32,zero,0.8126999735832214,8418.36
157,42,flatten,se,7,32,zero,0.8166999816894531,9434.71
158,42,flatten,se,1,32,random_fixed,0.7870000004768372,6731.3
159,42,flatten,se,3,32,random_fixed,0.8102999925613403,7784.48
160,42,flatten,se,5,32,random_fixed,0.8138999938964844,8233.81
161,42,flatten,se,7,32,random_fixed,0.8170999884605408,9433.14
162,42,flatten,se,1,32,random_indep,0.7825999855995178,7023.91
163,42,flatten,se,3,32,random_indep,0.8091999888420105,7816.09
164,42,flatten,se,5,32,random_indep,0.8130000233650208,8494.22
165,42,flatten,se,7,32,random_indep,0.8156999945640564,9199.81
166,42,flatten,random,1,2,zero,0.365200012922287,359.89
167,42,flatten,random,3,2,zero,0.4138000011444092,402.28
168,42,flatten,random,5,2,zero,0.49729999899864197,408.26
169,42,flatten,random,7,2,zero,0.48910000920295715,441.81
170,42,flatten,random,9,2,zero,0.5307999849319458,454.46
171,42,flatten,random,15,2,zero,0.5669999718666077,484.51
172,42,flatten,random,21,2,zero,0.5659999847412109,566.29
173,42,flatten,random,1,2,random_fixed,0.35269999504089355,382.94
174,42,flatten,random,3,2,random_fixed,0.48190000653266907,401.95
